forum,title,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=z1F9G4VnGZ-,CentripetalText: An Efficient Text Instance Representation for Scene Text Detection,"['Scene Text Detection', 'Scene Text Recognition', 'Text Instance Representation']","Scene text detection remains a grand challenge due to the variation in text curvatures, orientations, and aspect ratios. One of the hardest problems in this task is how to represent text instances of arbitrary shapes. Although many methods have been proposed to model irregular texts in a flexible manner, most of them lose simplicity and robustness. Their complicated post-processings and the regression under Dirac delta distribution undermine the detection performance and the generalization ability. In this paper, we propose an efficient text instance representation named CentripetalText (CT), which decomposes text instances into the combination of text kernels and centripetal shifts. Specifically, we utilize the centripetal shifts to implement pixel aggregation, guiding the external text pixels to the internal text kernels. The relaxation operation is integrated into the dense regression for centripetal shifts, allowing the correct prediction in a range instead of a specific value. The convenient reconstruction of text contours and the tolerance of prediction errors in our method guarantee the high detection accuracy and the fast inference speed, respectively. Besides, we shrink our text detector into a proposal generation module, namely CentripetalText Proposal Network (CPN), replacing Segmentation Proposal Network (SPN) in Mask TextSpotter v3 and producing more accurate proposals. To validate the effectiveness of our method, we conduct experiments on several commonly used scene text benchmarks, including both curved and multi-oriented text datasets. For the task of scene text detection, our approach achieves superior or competitive performance compared to other existing methods, e.g., F-measure of 86.3% at 40.0 FPS on Total-Text, F-measure of 86.1% at 34.8 FPS on MSRA-TD500, etc. For the task of end-to-end scene text recognition, our method outperforms Mask TextSpotter v3 by 1.1% in F-measure on Total-Text.",https://openreview.net/pdf/d8bb1b763841f3720734e8ecbd9aeba4d181d6b3.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yr7nrY18Xu,Learning and Generalization in RNNs,"['Recurrent Neural Networks', 'Generalization', 'Overparametrized Neural Networks', 'Optimization']","Simple recurrent neural networks (RNNs) and their more advanced cousins LSTMs etc. have been very successful in sequence modeling. Their theoretical understanding, however, is lacking and has not kept pace with the progress for feedforward networks, where a reasonably complete understanding in the special case of highly overparametrized one-hidden-layer networks has emerged. In this paper, we make progress towards remedying this situation by proving that RNNs can learn functions of sequences. In contrast to the previous work that could only deal with functions of sequences that are sums of functions of individual tokens in the sequence, we allow general functions. Conceptually and technically, we introduce new ideas which enable us to extract information from the hidden state of the RNN in our proofs---addressing a crucial weakness in previous work. We illustrate our results on some regular language recognition problems.",https://openreview.net/pdf/1fd1643647a59a9524494b5fbfb97791012854e0.pdf,{'title_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yqj6q_eNTJd,ActCooLR – High-Level Learning Rate Schedules using Activation Pattern Temperature,"['deep learning', 'learning rate schedules', 'information theory', 'activation pattern temperature']","We consider the aspect of learning rate (LR-)scheduling in neural networks, which often significantly affects achievable training time and generalization performance. Although schedules such as 1-cycle offer substantial gains over base-line methods, the effect of LR-curves on the training process is not very well understood. In order to gain more insight into the training process, we combine information theoretic ideas and probabilistic optimization, namely simulated annealing. In more detail, we introduce the activation pattern temperature, which (i) captures changes in the non-linear behavior of ReLU networks and (ii) is free of hyperparameters and thus is more interpretable. Examining the training process, 1-cycle simply yields a linear decrease in temperature, reminiscent of successful cooling strategies in simulated annealing. In order to test a causal connection, we devise ActCooLR, an automatic LR-scheduler that produces declining temperature profiles. In experiments with various CNN architectures and different image classification data sets, we obtain results that perform favorably or exceed the performance of hand-tuned schedules.",https://openreview.net/pdf/7b6dee5681f10650075384831b010b106bbf6672.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yq5MYHVaClG,Emergent Communication of Generalizations,"['emergent communication', 'multi-agent communication', 'language grounding', 'compositionality']","To build agents that can collaborate effectively with others, recent research has trained artificial agents to communicate with each other in Lewis-style referential games. However, this often leads to successful but uninterpretable communication. We argue that this is due to the game objective: communicating about a single object in a shared visual context is prone to overfitting and does not encourage language useful beyond concrete reference. In contrast, human language conveys a rich variety of abstract ideas. To promote such skills, we propose games that require communicating generalizations over sets of objects representing abstract visual concepts, optionally with separate contexts for each agent. We find that these games greatly improve systematicity and interpretability of the learned languages, according to several metrics in the literature. Finally, we propose a method for identifying logical operations embedded in the emergent languages by learning an approximate compositional reconstruction of the language.",https://openreview.net/pdf/73ddcc8671d3d9c9bf334032b6fb018a8e49fb50.pdf,{'title_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=ympqhd5gE9,Single Layer Predictive Normalized Maximum Likelihood for Out-of-Distribution Detection,"['out-of-distribution', 'normalized maximum likelihood', 'information theory', 'deep neural network', 'regret', 'generalization error']","Detecting out-of-distribution (OOD) samples is vital for developing machine learning based models for critical safety systems. Common approaches for OOD detection assume access to some OOD samples during training which may not be available in a real-life scenario. Instead, we utilize the {\em predictive normalized maximum likelihood} (pNML) learner, in which no assumptions are made on the tested input. We derive an explicit expression of the pNML and its generalization error, denoted as the regret, for a single layer neural network (NN). We show that this learner generalizes well when (i) the test vector resides in a subspace spanned by the eigenvectors associated with the large eigenvalues of the empirical correlation matrix of the training data, or (ii) the test sample is far from the decision boundary. Furthermore, we describe how to efficiently apply the derived pNML regret to any pretrained deep NN, by employing the explicit pNML for the last layer, followed by the softmax function. Applying the derived regret to deep NN requires neither additional tunable parameters nor extra data. We extensively evaluate our approach on 74 OOD detection benchmarks using DenseNet-100, ResNet-34, and WideResNet-40 models trained with CIFAR-100, CIFAR-10, SVHN, and ImageNet-30 showing a significant improvement of up to 15.6% over recent leading methods.",https://openreview.net/pdf/2f88e6ed66de0f26e0d22ec6ca98a486547be244.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yaxePRTOhqk,Stability and Deviation Optimal Risk Bounds with Convergence Rate $O(1/n)$,"['algorithmic stability', 'generalization bounds', 'concentration inequalities', 'stochastic convex optimization']","The sharpest known high probability generalization bounds for uniformly stable algorithms (Feldman, Vondrak, NeurIPS 2018, COLT, 2019), (Bousquet, Klochkov, Zhivotovskiy, COLT, 2020) contain a generally inevitable sampling error term of order $\Theta(1/\sqrt{n})$. When applied to excess risk bounds, this leads to suboptimal results in several standard stochastic convex optimization problems. We show that if the so-called Bernstein condition is satisfied, the term $\Theta(1/\sqrt{n})$ can be avoided, and high probability excess risk bounds of order up to $O(1/n)$ are possible via uniform stability. Using this result, we show a high probability excess risk bound with the rate $O(\log n/n)$ for strongly convex and Lipschitz losses valid for \emph{any} empirical risk minimization method. This resolves a question of Shalev-Shwartz, Shamir, Srebro, and Sridharan (COLT, 2009). We discuss how $O(\log n/n)$ high probability excess risk bounds are possible for projected gradient descent in the case of strongly convex and Lipschitz losses without the usual smoothness assumption.",https://openreview.net/pdf/4bfb0b2d40503eb1f86bc6fbddb303b0f035fff7.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yUNQBMsLGA,BCORLE($\lambda$): An Offline Reinforcement Learning and Evaluation Framework for Coupons Allocation in E-commerce Market,"['Application of E-commerce Market；Coupons Allocation', 'Constrained Markov Decision Process', 'Offline Reinforcement Learning', 'Off-policy Evaluation']","Coupons allocation is an important tool for enterprises to increase the activity and loyalty of users on the e-commerce market. One fundamental problem related is how to allocate coupons within a fixed budget while maximizing users' retention on the e-commerce platform. The online e-commerce environment is complicated and ever changing, so it requires the coupons allocation policy learning can quickly adapt to the changes of the company's business strategy. Unfortunately, existing studies with a huge computation overhead can hardly satisfy the requirements of real-time and fast-response in the real world. Specifically, the problem of coupons allocation within a fixed budget is usually formulated as a Lagrangian problem. Existing solutions need to re-learn the policy once the value of Lagrangian multiplier variable $\lambda$ is updated, causing a great computation overhead. Besides, a mature e-commerce market often faces tens of millions of users and dozens of types of coupons which construct the huge policy space, further increasing the difficulty of solving the problem. To tackle with above problems, we propose a budget constrained offline reinforcement learning and evaluation with $\lambda$-generalization (BCORLE($\lambda$)) framework. The proposed method can help enterprises develop a coupons allocation policy which greatly improves users' retention rate on the platform while ensuring the cost does not exceed the budget. Specifically, $\lambda$-generalization method is proposed to lead the policy learning process can be executed according to different $\lambda$ values adaptively, avoiding re-learning new polices from scratch. Thus the computation overhead is greatly reduced. Further, a novel offline reinforcement learning method and an off-policy evaluation algorithm are proposed for policy learning and policy evaluation, respectively. Finally, experiments on the simulation platform and real-world e-commerce market validate the effectiveness of our approach.",https://openreview.net/pdf/898c90e91f397bf8492cb139e73396dfba8cf025.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yTJtgA1Gh2,Even your Teacher Needs Guidance: Ground-Truth Targets Dampen Regularization Imposed by Self-Distillation,"['Knowledge Distillation', 'Self Distillation', 'Kernel Ridge Regression', 'Statistical Learning', 'Theory']","Knowledge distillation is classically a procedure where a neural network is trained on the output of another network along with the original targets in order to transfer knowledge between the architectures. The special case of self-distillation, where the network architectures are identical, has been observed to improve generalization accuracy. In this paper, we consider an iterative variant of self-distillation in a kernel regression setting, in which successive steps incorporate both model outputs and the ground-truth targets. This allows us to provide the first theoretical results on the importance of using the weighted ground-truth targets in self-distillation. Our focus is on fitting nonlinear functions to training data with a weighted mean square error objective function suitable for distillation, subject to $\ell_2$ regularization of the model parameters. We show that any such function obtained with self-distillation can be calculated directly as a function of the initial fit, and that infinite distillation steps yields the same optimization problem as the original with amplified regularization. Furthermore, we provide a closed form solution for the optimal choice of weighting parameter at each step, and show how to efficiently estimate this weighting parameter for deep learning and significantly reduce the computational requirements compared to a grid search.",https://openreview.net/pdf/9d5815d2b904e4ddfd25cad4a3f7344cb69e39dc.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yKdYdQbo22W,Provably Strict Generalisation Benefit for Invariance in Kernel Methods,"['generalization', 'kernel methods', 'invariance', 'equivariance', 'symmetry', 'geometric deep learning', 'statistical learning theory']","It is a commonly held belief that enforcing invariance improves generalisation. Although this approach enjoys widespread popularity, it is only very recently that a rigorous theoretical demonstration of this benefit has been established. In this work we build on the function space perspective of Elesedy and Zaidi [8] to derive a strictly non-zero generalisation benefit of incorporating invariance in kernel ridge regression when the target is invariant to the action of a compact group. We study invariance enforced by feature averaging and find that generalisation is governed by a notion of effective dimension that arises from the interplay between the kernel and the group. In building towards this result, we find that the action of the group induces an orthogonal decomposition of both the reproducing kernel Hilbert space and its kernel, which may be of interest in its own right.",https://openreview.net/pdf/14406fcc5161daf4ac0ceae348d16f5b15384b6f.pdf,{'title_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=yAvCV6NwWQ,On Linear Stability of SGD and Input-Smoothness of Neural Networks,"['Stochastic Gradient Descent', 'Implicit regularization', 'Linear stability', 'Sobolev Seminorm']","The multiplicative structure of parameters and input data in the first layer of neural networks is explored to build connection between the landscape of the loss function with respect to parameters and the landscape of the model function with respect to input data. By this connection, it is shown that flat minima regularize the gradient of the model function, which explains the good generalization performance of flat minima. Then, we go beyond the flatness and consider high-order moments of the gradient noise, and show that Stochastic Gradient Dascent (SGD) tends to impose constraints on these moments by a linear stability analysis of SGD around global minima. Together with the multiplicative structure, we identify the Sobolev regularization effect of SGD, i.e. SGD regularizes the Sobolev seminorms of the model function with respect to the input data. Finally, bounds for generalization error and adversarial robustness are provided for solutions found by SGD under assumptions of the data distribution. ",https://openreview.net/pdf/66031c43bc29441b675dcca1d7d745bb5828875e.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=xz80iPFIjvG,On the Algorithmic Stability of Adversarial Training,"['Algorithmic Stability', 'Generalization']","The adversarial training is a popular tool to remedy the vulnerability of deep learning models against adversarial attacks, and there is rich theoretical literature on the training loss of adversarial training algorithms. In contrast, this paper studies the algorithmic stability of a generic adversarial training algorithm, which can further help to establish an upper bound for generalization error. By figuring out the stability upper bound and lower bound, we argue that the non-differentiability issue of adversarial training causes worse algorithmic stability than their natural counterparts. To tackle this problem, we consider a noise injection method. While the non-differentiability problem seriously affects the stability of adversarial training, injecting noise enables the training trajectory to avoid the occurrence of non-differentiability with dominating probability, hence enhancing the stability performance of adversarial training. Our analysis also studies the relation between the algorithm stability and numerical approximation error of adversarial attacks.",https://openreview.net/pdf/25e0a5ec61fd099939858bf1138eae23ac573180.pdf,{'keywords_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=xyoFSmocONi,Structure-Aware Random Fourier Kernel for Graphs,"['Structure-Aware Random Fourier Kernel', 'Gaussian Process', 'Graph Learning', 'Random Fourier Feature']","Gaussian Processes (GPs) define distributions over functions and their generalization capabilities depend heavily on the choice of kernels. In this paper, we propose a novel structure-aware random Fourier (SRF) kernel for GPs that brings several benefits when modeling graph-structured data. First, SRF kernel is defined with a spectral distribution based on the Fourier duality given by the Bochner's theorem, transforming the kernel learning problem to a distribution inference problem. Second, SRF kernel admits a random Fourier feature formulation that makes the kernel scalable for optimization. Third, SRF kernel enables to leverage geometric structures by taking subgraphs as inputs. To effectively optimize GPs with SRF kernel, we develop a variational EM algorithm, which alternates between an inference procedure (E-step) and a learning procedure (M-step). Experimental results on five real-world datasets show that our model can achieve state-of-the-art performance in two typical graph learning tasks, i.e., object classification and link prediction. ",https://openreview.net/pdf/4d94a95473dfe6f8702877815b49a6ec0cdd935f.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=xLExSzfIDmo,Robust Contrastive Learning Using Negative Samples with Diminished Semantics,"['contrastive learning', 'out-of-the-domain', 'self-supervised learning', 'hard negative mining']","Unsupervised learning has recently made exceptional progress because of the development of more effective contrastive learning methods. However, CNNs are prone to depend on low-level features that humans deem non-semantic. This dependency has been conjectured to induce a lack of robustness to image perturbations or domain shift. In this paper, we show that by generating carefully designed negative samples, contrastive learning can learn more robust representations with less dependence on such features. Contrastive learning utilizes positive pairs which preserve semantic information while perturbing superficial features in the training images. Similarly, we propose to generate negative samples in a reversed way, where only the superfluous instead of the semantic features are preserved. We develop two methods, texture-based and patch-based augmentations, to generate negative samples.  These samples achieve better generalization, especially under out-of-domain settings. We also analyze our method and the generated texture-based samples, showing that texture features are indispensable in classifying particular ImageNet classes and especially finer classes. We also show that the model bias between texture and shape features favors them differently under different test settings. ",https://openreview.net/pdf/2c74a544cbf0e717413e6d5f10f3ce15f2c0cf3f.pdf,{'abstract_filter': 'generalization'},NeurIPS.cc,2021,Conference
https://openreview.net/forum?id=xJYek6zantM,Tighter Expected Generalization Error Bounds via Wasserstein Distance,"['generalization error', 'wasserstein distance']","This work presents several expected generalization error bounds based on the Wasserstein distance. More specifically, it introduces full-dataset, single-letter, and random-subset bounds, and their analogous in the randomized subsample setting from Steinke and Zakynthinou [1]. Moreover, when the loss function is bounded and the geometry of the space is ignored by the choice of the metric in the Wasserstein distance, these bounds recover from below (and thus, are tighter than) current bounds based on the relative entropy. In particular, they generate new, non-vacuous bounds based on the relative entropy. Therefore, these results can be seen as a bridge between works that account for the geometry of the hypothesis space and those based on the relative entropy, which is agnostic to such geometry. Furthermore, it is shown how to produce various new bounds based on different information measures (e.g., the lautum information or several $f$-divergences) based on these bounds and how to derive similar bounds with respect to the backward channel using the presented proof techniques.",https://openreview.net/pdf/7ad170ef90b294a28460e03c193bcd32059800a5.pdf,{'title_filter': 'generalization'},NeurIPS.cc,2021,Conference
